workerid,proliferate.condition,content,contentNr,fact,fact_type,probe_text,question,response,rt,slide_number_in_experiment,speakerGender,speakerName,subjectGender,subjectName,trigger_class,utterance,verb,error
20,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.23,1633,6,M,Kenneth,NA,NA,control,Was Hendrick's car expensive?,control,
20,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.95,1516,7,F,Margaret,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
20,main,Jackson completed some of the assignments,6,Mia is a college student,factH,and possibly all of them,6,0.38,1367,8,F,Betty,F,Julie,C,Did Ray prove that Jackson completed some of the assignments?,prove,
20,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,but not all of them,2,0.94,1679,9,M,Matthew,M,Tyler,NonProj,Did Scott reveal that Josie failed some of the courses?,reveal,
20,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.1,8121,10,F,Elizabeth,F,Virginia,C,Did Ben suggest that Frank answered some of the questions?,suggest,
20,main,Tony answered emails or calls,11,Danny is a diabetic,factL,and possibly both,11,0.8,1233,11,F,Carol,F,Angela,NonProj,Did Amanda establish that Tony answered emails or calls?,establish,
20,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,but not all of them,1,0.24,1017,12,F,Margaret,M,Jacob,C,Did Patrick confirm that Mary ate some of the cupcakes?,confirm,
20,main,Emily failed math or science,8,Emily has been saving for a year,factH,but not both,8,0.88,1066,13,M,Paul,M,Patrick,C,Did Brian hear that Emily failed math or science?,hear,
20,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.27,1051,14,F,Susan,NA,NA,control,Is Vanessa good at math?,control,
20,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,but not both,12,0.81,1283,15,F,Karen,F,Sharon,NonProj,Does Melissa know that Josh bought coffee or tea?,know,
20,main,Grace used pens or markers,9,Grace hates her sister,factL,and possibly both,9,0.25,1016,16,F,Susan,M,Timothy,C,Did Andrew inform Sam that Grace used pens or markers?,inform_Sam,
20,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,and possibly all of them,4,0.87,1167,17,M,William,F,Carolyn,NonProj,Did Jerry discover that Danny solved some of the puzzles?,discover,
20,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.28,950,18,F,Michelle,NA,NA,control,Did Todd play football in high school?,control,
20,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,0.92,1867,19,M,Kenneth,F,Catherine,C,Did Tim acknowledge that Jayden solved the puzzles or problems?,acknowledge,
20,main,Emma used some of the office supplies,3,Emma is in first grade,factL,but not all of them,3,0.31,1116,20,F,Michelle,M,Benjamin,C,Did Justin say that Emma used some of the office supplies?,say,
20,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.86,1368,21,M,Matthew,NA,NA,control,Is Mary's aunt sick?,control,
26,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0,9182,4,F,Helen,NA,NA,control,Is Mary's aunt sick?,control,
26,main,Grace used pens or markers,9,Grace hates her sister,factL,but not both,9,0,27290,5,M,James,M,Alexander,NonProj,Did Andrew reveal that Grace used pens or markers?,reveal,
26,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,1,14253,6,F,Donna,F,Diane,C,Did Melissa acknowledge that Josh bought coffee or tea?,acknowledge,
26,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,but not all of them,4,1,7191,7,F,Lisa,F,Christina,C,Did Jerry hear that Danny solved some of the puzzles?,hear,
26,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0,6327,8,M,James,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
26,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0,8799,9,F,Jessica,M,Larry,C,Did Brian suggest that Emily failed math or science?,suggest,
26,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,but not all of them,1,1,11094,10,F,Jennifer,M,Kevin,NonProj,Does Patrick know that Mary ate some of the cupcakes?,know,
26,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,1,14494,11,F,Karen,F,Janet,NonProj,Did Tim establish that Jayden solved the puzzles or problems?,establish,
26,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.98,55656,12,F,Helen,F,Stephanie,C,Did Ray inform Sam that Jackson completed some of the assignments?,inform_Sam,
26,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0,16350,13,M,Richard,M,Raymond,C,Did Scott prove that Josie failed some of the courses?,prove,
26,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0,4167,14,M,David,NA,NA,control,Is Vanessa good at math?,control,
26,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0,9520,15,M,Robert,F,Ruth,C,Did Ben confirm that Frank answered some of the questions?,confirm,
26,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,1,11292,16,F,Elizabeth,M,Ryan,C,Did Kevin say that Isabella ate cake or pie?,say,
26,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0,4535,17,F,Karen,NA,NA,control,Did Todd play football in high school?,control,
26,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0,3876,18,M,Richard,NA,NA,control,Was Hendrick's car expensive?,control,
26,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0,5002,19,F,Jessica,NA,NA,control,Did Madison have a baby?,control,
26,main,Emma used some of the office supplies,3,Emma is in first grade,factL,but not all of them,3,1,5732,20,M,David,M,Timothy,NonProj,Did Justin discover that Emma used some of the office supplies?,discover,
26,main,Tony answered emails or calls,11,Danny loves cake,factH,but not both,11,0,8985,21,F,Carol,F,Joyce,NonProj,Does Amanda think that Tony answered emails or calls?,think,
6,main,Jackson completed some of the assignments,6,Mia is a college student,factH,but not all of them,6,0.65,1948,3,F,Sarah,F,Catherine,C,Did Ray suggest that Jackson completed some of the assignments?,suggest,
6,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,but not all of them,1,0.63,900,4,F,Nancy,M,Tyler,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,acknowledge,
6,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.7,883,5,M,James,M,Jacob,NonProj,Did Andrew discover that Grace used pens or markers?,discover,
6,main,Tony answered emails or calls,11,Danny loves cake,factH,but not both,11,0.31,900,6,M,Richard,F,Heather,C,Did Amanda prove that Tony answered emails or calls?,prove,
6,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.69,1200,7,F,Susan,M,Benjamin,C,Did Brian say that Emily failed math or science?,say,
6,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,but not both,12,0.22,1050,8,M,Thomas,F,Rachel,NonProj,Does Melissa think that Josh bought coffee or tea?,think,
6,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,but not all of them,2,0.92,1100,9,M,Kenneth,M,Brandon,NonProj,Does Scott know that Josie failed some of the courses?,know,
6,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.2,1033,10,M,Kenneth,NA,NA,control,Is Mary's aunt sick?,control,
6,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.91,1116,11,F,Betty,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
6,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,and possibly all of them,4,0.28,1366,12,F,Helen,F,Janet,C,Did Jerry confirm that Danny solved some of the puzzles?,confirm,
6,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,but not both,7,0.95,1434,13,F,Donna,M,Jeffrey,NonProj,Did Kevin reveal that Isabella ate cake or pie?,reveal,
6,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.09,1317,14,F,Susan,NA,NA,control,Did Madison have a baby?,control,
6,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,and possibly both,10,0.83,1149,15,F,Linda,F,Virginia,C,Did Tim hear that Jayden solved the puzzles or problems?,hear,
6,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.19,1084,16,F,Nancy,NA,NA,control,Did Todd play football in high school?,control,
6,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.77,1100,17,F,Linda,NA,NA,control,Was Hendrick's car expensive?,control,
6,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.19,1116,18,F,Margaret,F,Rebecca,NonProj,Did Ben establish that Frank answered some of the questions?,establish,
6,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.45,883,19,F,Helen,NA,NA,control,Is Vanessa good at math?,control,
6,main,Emma used some of the office supplies,3,Emma is in first grade,factL,and possibly all of them,3,0.62,950,20,F,Betty,M,Patrick,C,Did Justin inform Sam that Emma used some of the office supplies?,inform_Sam,
7,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.73,1766,3,F,Nancy,NA,NA,control,Did Todd play football in high school?,control,
7,main,Emma used some of the office supplies,3,Emma is in first grade,factL,and possibly all of them,3,0.36,1700,4,F,Jennifer,M,Jeffrey,NonProj,Did Justin establish that Emma used some of the office supplies?,establish,
7,main,Danny solved some of the puzzles,4,Olivia works the third shift,factH,but not all of them,4,0.8,1450,5,F,Donna,F,Sharon,C,Did Jerry acknowledge that Danny solved some of the puzzles?,acknowledge,
7,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,but not both,10,0.48,1049,6,F,Linda,F,Shirley,C,Did Tim hear that Jayden solved the puzzles or problems?,hear,
7,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.83,1550,7,M,Robert,M,Timothy,C,Did Scott say that Josie failed some of the courses?,say,
7,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.39,1266,8,F,Sandra,M,Ronald,NonProj,Did Andrew discover that Grace used pens or markers?,discover,
7,main,Isabella ate cake or pie,7,Isabella is a vegetarian,factL,but not both,7,0.69,1150,9,F,Karen,M,Andrew,C,Did Kevin inform Sam that Isabella ate cake or pie?,inform_Sam,
7,main,Jackson completed some of the assignments,6,Mia is a nun,factL,and possibly all of them,6,0.77,1049,10,F,Nancy,F,Heather,NonProj,Does Ray think that Jackson completed some of the assignments?,think,
7,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.44,966,11,F,Linda,NA,NA,control,Did Madison have a baby?,control,
7,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,0.52,1533,12,M,Paul,F,Christina,NonProj,Did Melissa reveal that Josh bought coffee or tea?,reveal,
7,main,Tony answered emails or calls,11,Danny loves cake,factH,but not both,11,0.6,1684,13,F,Elizabeth,F,Rebecca,C,Did Amanda prove that Tony answered emails or calls?,prove,
7,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.35,1500,14,F,Lisa,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
7,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.88,1483,15,F,Jennifer,NA,NA,control,Was Hendrick's car expensive?,control,
7,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.12,1383,16,F,Karen,NA,NA,control,Is Vanessa good at math?,control,
7,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.58,1167,17,M,William,F,Janet,C,Did Ben confirm that Frank answered some of the questions?,confirm,
7,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.31,1233,18,F,Lisa,M,Nicholas,C,Did Brian suggest that Emily failed math or science?,suggest,
7,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,but not all of them,1,0.76,1333,19,F,Jessica,M,Jerry,NonProj,Does Patrick know that Mary ate some of the cupcakes?,know,
7,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.21,1866,20,F,Jessica,NA,NA,control,Is Mary's aunt sick?,control,
4,main,Emily failed math or science,8,Emily never has any money,factL,and possibly both,8,0.58,1515,3,F,Michelle,M,Ryan,NonProj,Did Brian establish that Emily failed math or science?,establish,
4,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.73,1350,4,F,Sarah,NA,NA,control,Was Hendrick's car expensive?,control,
4,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.63,1134,5,M,James,M,Raymond,NonProj,Does Kevin know that Isabella ate cake or pie?,know,
4,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.32,1433,6,F,Dorothy,F,Sharon,C,Did Ben inform Sam that Frank answered some of the questions?,inform_Sam,
4,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.75,1500,7,F,Elizabeth,F,Christina,NonProj,Did Ray reveal that Jackson completed some of the assignments?,reveal,
4,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.62,1266,8,F,Michelle,NA,NA,control,Is Mary's aunt sick?,control,
4,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.16,1234,9,F,Ashley,NA,NA,control,Did Todd play football in high school?,control,
4,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,and possibly all of them,4,0.2,1267,10,F,Ashley,F,Cynthia,NonProj,Does Jerry think that Danny solved some of the puzzles?,think,
4,main,Josie failed some of the courses,2,Josie loves France,factH,but not all of them,2,0.94,1749,11,F,Linda,M,Jerry,C,Did Scott suggest that Josie failed some of the courses?,suggest,
4,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.86,1534,12,F,Elizabeth,NA,NA,control,Did Madison have a baby?,control,
4,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.09,1383,13,M,Richard,M,Timothy,C,Did Patrick confirm that Mary ate some of the cupcakes?,confirm,
4,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.89,2250,14,M,Richard,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
4,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,and possibly both,10,0.08,1433,15,F,Lisa,F,Julie,C,Did Tim hear that Jayden solved the puzzles or problems?,hear,
4,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.93,1534,16,F,Sarah,F,Nicole,NonProj,Did Amanda discover that Tony answered emails or calls?,discover,
4,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.06,1566,17,M,David,M,Gary,C,Did Justin say that Emma used some of the office supplies?,say,
4,main,Grace used pens or markers,9,Grace loves her sister,factH,but not both,9,0.92,1467,18,F,Nancy,M,Andrew,C,Did Andrew prove that Grace used pens or markers?,prove,
4,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.09,1533,19,F,Jessica,F,Janet,C,Did Melissa acknowledge that Josh bought coffee or tea?,acknowledge,
4,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.91,1684,20,F,Jessica,NA,NA,control,Is Vanessa good at math?,control,
1,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,but not both,10,0.54,1682,3,F,Helen,F,Stephanie,NonProj,Does Tim know that Jayden solved the puzzles or problems?,know,
1,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.31,1250,4,M,William,NA,NA,control,Was Hendrick's car expensive?,control,
1,main,Tony answered emails or calls,11,Danny loves cake,factH,but not both,11,0.73,1200,5,M,George,F,Cynthia,NonProj,Did Amanda discover that Tony answered emails or calls?,discover,
1,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.39,1783,6,F,Margaret,NA,NA,control,Is Vanessa good at math?,control,
1,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.82,1284,7,F,Linda,M,Raymond,C,Did Kevin acknowledge that Isabella ate cake or pie?,acknowledge,
1,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.46,1016,8,F,Betty,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
1,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,and possibly both,12,0.91,1183,9,F,Ashley,F,Rachel,C,Did Melissa prove that Josh bought coffee or tea?,prove,
1,main,Grace used pens or markers,9,Grace loves her sister,factH,and possibly both,9,0.32,1767,10,M,David,M,Nicholas,C,Did Andrew hear that Grace used pens or markers?,hear,
1,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.66,1132,11,F,Helen,NA,NA,control,Is Mary's aunt sick?,control,
1,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.43,1267,12,F,Betty,F,Kathleen,C,Did Ray confirm that Jackson completed some of the assignments?,confirm,
1,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,and possibly all of them,1,0.71,1383,13,M,Robert,M,Jerry,C,Did Patrick suggest that Mary ate some of the cupcakes?,suggest,
1,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.41,1084,14,M,William,F,Sharon,NonProj,Did Jerry establish that Danny solved some of the puzzles?,establish,
1,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.65,1350,15,F,Ashley,NA,NA,control,Did Madison have a baby?,control,
1,main,Josie failed some of the courses,2,Josie loves France,factH,and possibly all of them,2,0.43,850,16,F,Dorothy,M,Brian,NonProj,Did Scott reveal that Josie failed some of the courses?,reveal,
1,main,Frank answered some of the questions,5,Sophia is a high end fashion model,factL,but not all of them,5,0.61,866,17,M,Thomas,F,Amy,C,Did Ben say that Frank answered some of the questions?,say,
1,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.51,1050,18,M,James,M,Scott,NonProj,Does Justin think that Emma used some of the office supplies?,think,
1,main,Todd played football in high school,control3,Todd goes to the gym 3 times a week,NA,,control3,0.77,1016,19,M,Thomas,NA,NA,control,Did Todd play football in high school?,control,
1,main,Emily failed math or science,8,Emily never has any money,factL,but not both,8,0.31,1250,20,F,Margaret,M,Jeffrey,C,Did Brian inform Sam that Emily failed math or science?,inform_Sam,
10,main,Jackson completed some of the assignments,6,Mia is a college student,factH,and possibly all of them,6,0.68,1931,3,F,Susan,F,Amy,NonProj,Does Ray think that Jackson completed some of the assignments?,think,
10,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.23,1099,4,F,Betty,NA,NA,control,Did Madison have a baby?,control,
10,main,Frank answered some of the questions,5,Sophia is a hipster,factH,but not all of them,5,0.94,1383,5,M,Mark,F,Angela,NonProj,Does Ben know that Frank answered some of the questions?,know,
10,main,Josh bought coffee or tea,12,Frank is allergic to cats,factL,but not both,12,0.02,1583,6,F,Betty,F,Catherine,C,Did Melissa say that Josh bought coffee or tea?,say,
10,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.92,1333,7,M,Steven,NA,NA,control,Was Hendrick's car expensive?,control,
10,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.12,1716,8,F,Michelle,NA,NA,control,Is Vanessa good at math?,control,
10,main,Mary ate some of the cupcakes,1,Mary is taking a prenatal yoga class,factH,but not all of them,1,0.93,1334,9,F,Elizabeth,M,Andrew,C,Did Patrick suggest that Mary ate some of the cupcakes?,suggest,
10,main,Grace used pens or markers,9,Grace hates her sister,factL,but not both,9,0.24,1700,10,F,Sandra,M,Brandon,C,Did Andrew prove that Grace used pens or markers?,prove,
10,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,and possibly all of them,4,0.84,1283,11,M,Steven,F,Rebecca,NonProj,Did Jerry reveal that Danny solved some of the puzzles?,reveal,
10,main,Emma used some of the office supplies,3,Emma is in law school,factH,and possibly all of them,3,0.33,1700,12,F,Jessica,M,Jerry,C,Did Justin inform Sam that Emma used some of the office supplies?,inform_Sam,
10,main,Jayden solved the puzzles or problems,10,Zoe is 5 years old,factL,but not both,10,0.65,983,13,F,Michelle,F,Cynthia,C,Did Tim hear that Jayden solved the puzzles or problems?,hear,
10,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.53,1016,14,F,Margaret,NA,NA,control,Is Mary's aunt sick?,control,
10,main,Tony answered emails or calls,11,Danny is a diabetic,factL,and possibly both,11,0.75,1533,15,M,Paul,F,Diane,C,Did Amanda confirm that Tony answered emails or calls?,confirm,
10,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.27,1383,16,M,Paul,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,
10,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,but not all of them,2,0.76,1184,17,F,Margaret,M,Brian,C,Did Scott acknowledge that Josie failed some of the courses?,acknowledge,
10,main,Emily failed math or science,8,Emily has been saving for a year,factH,and possibly both,8,0.35,1117,18,F,Linda,M,Nicholas,NonProj,Did Brian discover that Emily failed math or science?,discover,
