workerid,proliferate.condition,condition,item_id,matrix_subject,response,rt,scale,slide_number_in_experiment,speakerGender,speakerName,statement,trigger,trigger_class,utterance,error
423,main,NA,control5,NA,0.04,7304,NA,8,M,Paul,Madison had a baby,control,control,Did Madison have a baby?,NA
423,main,ub,1,Patrick,0.02,8442,some,9,M,Steven,"Mary ate some of the cupcakes, and she did not eat all of them",say,C,Did Patrick say that Mary ate some of the cupcakes?,NA
423,main,ub,9,Andrew,0.07,2580,or,10,M,Richard,"Grace stole a laptop or a calculator, and she did not steal both",suggest,C,Did Andrew suggest that Grace stole a laptop or a calculator?,NA
423,main,ub,5,Barbara,0.68,5316,some,11,F,Margaret,"Frank graded some of the math problems, and he did not grade all of them",confirm,C,Did Barbara confirm that Frank graded some of the math problems?,NA
423,main,lb,2,Scott,0.91,5188,some,12,F,Lisa,Josie failed at least some of the courses,hear,C,Did Scott hear that Josie failed some of the courses?,NA
423,main,ub,6,Rachel,0.17,5300,some,13,F,Helen,"Jackson drank some of the sodas, and he did not drink all of them",acknowledge,C,Did Rachel acknowledge that Jackson drank some of the sodas?,NA
423,main,lb,7,Kevin,0.98,4395,or,14,F,Carol,Isabella ate cake or pie or both,establish,NonProj,Did Kevin establish that Isabella ate cake or pie?,NA
423,main,lb,12,Melissa,0.97,3130,or,15,M,Thomas,Josh drank coffee or tea or both,prove,C,Did Melissa prove that Josh drank coffee or tea?,NA
423,main,NA,control1,NA,0.04,3545,NA,16,M,Christopher,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
423,main,NA,control2,NA,0.52,3791,NA,17,M,George,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
423,main,lb,3,Justin,0.56,3280,some,18,M,Kenneth,Emma stole at least some of the office supplies,reveal,NonProj,Did Justin reveal that Emma stole some of the office supplies?,NA
423,main,ub,11,Amanda,0.12,3846,or,19,M,David,"Tony graded the midterm or the final, and he did not grade both",think,NonProj,Does Amanda think that Tony graded the midterm or the final?,NA
423,main,NA,control3,NA,0.66,2373,NA,20,M,Matthew,Todd played football in high school,control,control,Did Todd play football in high school?,NA
423,main,NA,control6,NA,0.04,5092,NA,21,F,Jessica,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
146,main,NA,control4,NA,0.2,8049,NA,4,M,Mark,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
146,main,ub,8,Brian,0.14,8851,or,5,F,Helen,"Emily failed math or science, and she did not fail both",say,C,Did Brian say that Emily failed math or science?,NA
146,main,lb,2,Scott,0.82,9081,some,6,M,Paul,Josie failed at least some of the courses,reveal,NonProj,Did Scott reveal that Josie failed some of the courses?,NA
146,main,ub,10,Tina,0.85,9967,or,7,F,Sarah,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",acknowledge,C,Did Tina acknowledge that Jayden solved the crossword or the Rubik's cube?,NA
146,main,ub,1,Patrick,0.19,10482,some,8,M,George,"Mary ate some of the cupcakes, and she did not eat all of them",think,NonProj,Does Patrick think that Mary ate some of the cupcakes?,NA
146,main,lb,4,Janice,0.19,7551,some,9,M,William,Danny solved at least some of the puzzles,establish,NonProj,Did Janice establish that Danny solved some of the puzzles?,NA
146,main,lb,12,Melissa,0.82,15168,or,10,M,David,Josh drank coffee or tea or both,confirm,C,Did Melissa confirm that Josh drank coffee or tea?,NA
146,main,lb,6,Rachel,0.11,4935,some,11,M,Thomas,Jackson drank at least some of the sodas,prove,C,Did Rachel prove that Jackson drank some of the sodas?,NA
146,main,lb,9,Andrew,0.86,8594,or,12,F,Donna,Grace stole a laptop or a calculator or both,inform_Sam,C,Did Andrew inform Sam that Grace stole a laptop or a calculator?,NA
146,main,NA,control3,NA,0.09,3086,NA,13,F,Nancy,Todd played football in high school,control,control,Did Todd play football in high school?,NA
146,main,ub,3,Justin,0.88,6147,some,14,F,Lisa,"Emma stole some of the office supplies, and she did not take all of them",know,NonProj,Does Justin know that Emma stole some of the office supplies?,NA
146,main,NA,control2,NA,0.1,2783,NA,15,F,Susan,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
146,main,NA,control5,NA,0.08,2401,NA,16,M,Robert,Madison had a baby,control,control,Did Madison have a baby?,NA
146,main,lb,11,Amanda,0.16,8846,or,17,M,Kenneth,Tony graded the midterm or the final or both,suggest,C,Did Amanda suggest that Tony graded the midterm or the final?,NA
146,main,ub,5,Barbara,0.87,5602,some,18,M,Matthew,"Frank graded some of the math problems, and he did not grade all of them",discover,NonProj,Did Barbara discover that Frank graded some of the math problems?,NA
146,main,ub,7,Kevin,0.49,7540,or,19,F,Ashley,"Isabella ate cake or pie, and she did not eat both",hear,C,Did Kevin hear that Isabella ate cake or pie?,NA
146,main,NA,control6,NA,0.12,4347,NA,20,F,Margaret,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
146,main,NA,control1,NA,0.05,4115,NA,21,F,Sandra,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
258,main,NA,control2,NA,0.58,33813,NA,4,F,Elizabeth,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
258,main,lb,8,Brian,0.12,15469,or,5,F,Carol,Emily failed math or science or both,suggest,C,Did Brian suggest that Emily failed math or science?,NA
258,main,ub,6,Rachel,0.4,18720,some,6,M,Steven,"Jackson drank some of the sodas, and he did not drink all of them",say,C,Did Rachel say that Jackson drank some of the sodas?,NA
258,main,ub,12,Melissa,0.09,22112,or,7,F,Donna,"Josh drank coffee or tea, and he did not drink both",know,NonProj,Does Melissa know that Josh drank coffee or tea?,NA
258,main,lb,4,Janice,0.71,12901,some,8,F,Dorothy,Danny solved at least some of the puzzles,confirm,C,Did Janice confirm that Danny solved some of the puzzles?,NA
258,main,ub,10,Tina,0.64,13743,or,9,F,Sandra,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",inform_Sam,C,Did Tina inform Sam that Jayden solved the crossword or the Rubik's cube?,NA
258,main,ub,2,Scott,0.05,11551,some,10,F,Linda,"Josie failed some of the courses, and she did not fail all of them",establish,NonProj,Did Scott establish that Josie failed some of the courses?,NA
258,main,NA,control4,NA,0.07,9246,NA,11,F,Helen,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
258,main,lb,3,Justin,0.23,8015,some,12,F,Betty,Emma stole at least some of the office supplies,prove,C,Did Justin prove that Emma stole some of the office supplies?,NA
258,main,ub,9,Andrew,0.25,10572,or,13,F,Lisa,"Grace stole a laptop or a calculator, and she did not steal both",think,NonProj,Does Andrew think that Grace stole a laptop or a calculator?,NA
258,main,NA,control3,NA,0.08,8452,NA,14,M,Matthew,Todd played football in high school,control,control,Did Todd play football in high school?,NA
258,main,lb,5,Barbara,0.42,13572,some,15,F,Jennifer,Frank graded at least some of the math problems,hear,C,Did Barbara hear that Frank graded some of the math problems?,NA
258,main,ub,1,Patrick,0.75,11671,some,16,F,Karen,"Mary ate some of the cupcakes, and she did not eat all of them",acknowledge,C,Did Patrick acknowledge that Mary ate some of the cupcakes?,NA
258,main,NA,control1,NA,0,7852,NA,17,F,Kimberly,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
258,main,NA,control5,NA,0.14,12919,NA,18,M,Richard,Madison had a baby,control,control,Did Madison have a baby?,NA
258,main,lb,11,Amanda,0.73,10792,or,19,M,Paul,Tony graded the midterm or the final or both,reveal,NonProj,Did Amanda reveal that Tony graded the midterm or the final?,NA
258,main,lb,7,Kevin,0.41,11024,or,20,M,David,Isabella ate cake or pie or both,discover,NonProj,Did Kevin discover that Isabella ate cake or pie?,NA
258,main,NA,control6,NA,0.71,8472,NA,21,M,George,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
179,main,NA,control6,NA,0,14630,NA,4,M,Kenneth,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
179,main,lb,11,Amanda,0.99,26325,or,5,M,Christopher,Tony graded the midterm or the final or both,hear,C,Did Amanda hear that Tony graded the midterm or the final?,NA
179,main,NA,control2,NA,0.01,9403,NA,6,F,Sarah,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
179,main,ub,6,Rachel,0.01,17922,some,7,F,Linda,"Jackson drank some of the sodas, and he did not drink all of them",prove,C,Did Rachel prove that Jackson drank some of the sodas?,NA
179,main,NA,control4,NA,0.01,14715,NA,8,F,Betty,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
179,main,NA,control1,NA,0.01,11276,NA,9,F,Donna,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
179,main,lb,1,Patrick,0.98,21492,some,10,F,Michelle,Mary ate at least some of the cupcakes,reveal,NonProj,Did Patrick reveal that Mary ate some of the cupcakes?,NA
179,main,ub,2,Scott,0.47,35550,some,11,M,William,"Josie failed some of the courses, and she did not fail all of them",think,NonProj,Does Scott think that Josie failed some of the courses?,NA
179,main,lb,8,Brian,0.47,35287,or,12,M,Thomas,Emily failed math or science or both,suggest,C,Did Brian suggest that Emily failed math or science?,NA
179,main,NA,control3,NA,0,11545,NA,13,F,Dorothy,Todd played football in high school,control,control,Did Todd play football in high school?,NA
179,main,lb,4,Janice,0.98,18342,some,14,F,Nancy,Danny solved at least some of the puzzles,inform_Sam,C,Did Janice inform Sam that Danny solved some of the puzzles?,NA
179,main,lb,9,Andrew,0.13,12702,or,15,F,Susan,Grace stole a laptop or a calculator or both,discover,NonProj,Did Andrew discover that Grace stole a laptop or a calculator?,NA
179,main,ub,3,Justin,0.97,18695,some,16,F,Elizabeth,"Emma stole some of the office supplies, and she did not take all of them",know,NonProj,Does Justin know that Emma stole some of the office supplies?,NA
179,main,lb,5,Barbara,0.98,11672,some,17,F,Margaret,Frank graded at least some of the math problems,acknowledge,C,Did Barbara acknowledge that Frank graded some of the math problems?,NA
179,main,ub,7,Kevin,0.01,16314,or,18,M,Paul,"Isabella ate cake or pie, and she did not eat both",confirm,C,Did Kevin confirm that Isabella ate cake or pie?,NA
179,main,NA,control5,NA,0.01,7967,NA,19,M,David,Madison had a baby,control,control,Did Madison have a baby?,NA
179,main,ub,10,Tina,0.01,19526,or,20,F,Ashley,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",say,C,Did Tina say that Jayden solved the crossword or the Rubik's cube?,NA
179,main,ub,12,Melissa,0,11739,or,21,F,Jennifer,"Josh drank coffee or tea, and he did not drink both",establish,NonProj,Did Melissa establish that Josh drank coffee or tea?,NA
56,main,ub,5,Barbara,0.01,39798,some,4,F,Elizabeth,"Frank graded some of the math problems, and he did not grade all of them",think,NonProj,Does Barbara think that Frank graded some of the math problems?,NA
56,main,lb,11,Amanda,0,21140,or,5,F,Helen,Tony graded the midterm or the final or both,confirm,C,Did Amanda confirm that Tony graded the midterm or the final?,NA
56,main,ub,8,Brian,0.01,14605,or,6,M,Mark,"Emily failed math or science, and she did not fail both",prove,C,Did Brian prove that Emily failed math or science?,NA
56,main,ub,1,Patrick,0.99,12129,some,7,F,Jessica,"Mary ate some of the cupcakes, and she did not eat all of them",know,NonProj,Does Patrick know that Mary ate some of the cupcakes?,NA
56,main,NA,control1,NA,0.01,6396,NA,8,M,Thomas,Zack is coming to the meeting tomorrow,control,control,Is Zack coming to the meeting tomorrow?,NA
56,main,lb,6,Rachel,0.99,8547,some,9,F,Sandra,Jackson drank at least some of the sodas,hear,C,Did Rachel hear that Jackson drank some of the sodas?,NA
56,main,ub,7,Kevin,0.02,16658,or,10,M,Paul,"Isabella ate cake or pie, and she did not eat both",reveal,NonProj,Did Kevin reveal that Isabella ate cake or pie?,NA
56,main,lb,12,Melissa,0,10026,or,11,M,Richard,Josh drank coffee or tea or both,establish,NonProj,Did Melissa establish that Josh drank coffee or tea?,NA
56,main,ub,10,Tina,0.01,21779,or,12,M,Kenneth,"Jayden solved the crossword or the Rubik's cube, and he did not solve both",acknowledge,C,Did Tina acknowledge that Jayden solved the crossword or the Rubik's cube?,NA
56,main,NA,control2,NA,0,6976,NA,13,F,Betty,Mary's aunt is sick,control,control,Is Mary's aunt sick?,NA
56,main,NA,control6,NA,0.01,7559,NA,14,F,Margaret,Hendrick's car was expensive,control,control,Was Hendrick's car expensive?,NA
56,main,NA,control5,NA,0.02,5324,NA,15,F,Kimberly,Madison had a baby,control,control,Did Madison have a baby?,NA
56,main,lb,2,Scott,0.99,7701,some,16,F,Karen,Josie failed at least some of the courses,inform_Sam,C,Did Scott inform Sam that Josie failed some of the courses?,NA
56,main,NA,control3,NA,0.02,4896,NA,17,M,George,Todd played football in high school,control,control,Did Todd play football in high school?,NA
56,main,lb,3,Justin,0,11776,some,18,M,James,Emma stole at least some of the office supplies,say,C,Did Justin say that Emma stole some of the office supplies?,NA
56,main,NA,control4,NA,0,3713,NA,19,F,Michelle,Vanessa is good at math,control,control,Is Vanessa good at math?,NA
56,main,lb,9,Andrew,0.01,9624,or,20,F,Susan,Grace stole a laptop or a calculator or both,discover,NonProj,Did Andrew discover that Grace stole a laptop or a calculator?,NA
56,main,ub,4,Janice,0.01,14282,some,21,F,Lisa,"Danny solved some of the puzzles, and he did not solve all of them",suggest,C,Did Janice suggest that Danny solved some of the puzzles?,NA
278,main,lb,3,Justin,0.02,24155,some,4,F,Susan,Emma stole at least some of the office supplies,reveal,NonProj,Did Justin reveal that Emma stole some of the office supplies?,NA
