workerid,proliferate.condition,content,contentNr,fact,fact_type,probe_text,question,response,rt,slide_number_in_experiment,speakerGender,speakerName,subjectGender,subjectName,trigger_class,utterance,verb,catch_trials,subject_information.age,subject_information.american,subject_information.assess,subject_information.comments,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
3,main,Emily failed math or science,8,Emily has been saving for a year,factH,but not both,8,0.15,1832,4,F,Sandra,M,Andrew,NonProj,Did Brian establish that Emily failed math or science?,establish,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Zack is coming to the meeting tomorrow,control1,Zack is a member of the golf club,NA,,control1,0.28,1617,5,F,Margaret,NA,NA,control,Is Zack coming to the meeting tomorrow?,control,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Grace used pens or markers,9,Grace hates her sister,factL,and possibly both,9,0.25,1600,6,M,Steven,M,Jacob,C,Did Andrew inform Sam that Grace used pens or markers?,inform_Sam,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Jackson completed some of the assignments,6,Mia is a nun,factL,but not all of them,6,0.93,4167,7,F,Margaret,F,Cynthia,C,Did Ray suggest that Jackson completed some of the assignments?,suggest,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Madison had a baby,control5,Trish sent Madison a card,NA,,control5,0.81,1550,8,M,David,NA,NA,control,Did Madison have a baby?,control,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Isabella ate cake or pie,7,Isabella is from Argentina,factH,and possibly both,7,0.74,1533,9,F,Elizabeth,M,Edward,NonProj,Does Kevin think that Isabella ate cake or pie?,think,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Danny solved some of the puzzles,4,Olivia has two small children,factL,but not all of them,4,0.8,1300,10,M,George,F,Amanda,NonProj,Did Jerry discover that Danny solved some of the puzzles?,discover,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Tony answered emails or calls,11,Danny is a diabetic,factL,but not both,11,0.78,1300,11,F,Linda,F,Ruth,C,Did Amanda confirm that Tony answered emails or calls?,confirm,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Josh bought coffee or tea,12,Frank has always wanted a pet,factH,and possibly both,12,0.81,1417,12,F,Dorothy,F,Rebecca,NonProj,Does Melissa know that Josh bought coffee or tea?,know,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Vanessa is good at math,control4,Vanessa won a prize at school,NA,,control4,0.91,1550,13,F,Sarah,NA,NA,control,Is Vanessa good at math?,control,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Mary's aunt is sick,control2,Mary visited her aunt on Sunday,NA,,control2,0.86,10833,14,M,George,NA,NA,control,Is Mary's aunt sick?,control,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Hendrick's car was expensive,control6,Hendrick just bought a car,NA,,control6,0.78,1667,15,M,Steven,NA,NA,control,Was Hendrick's car expensive?,control,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Emma used some of the office supplies,3,Emma is in law school,factH,but not all of them,3,0.86,1383,16,F,Nancy,M,Gregory,NonProj,Did Justin reveal that Emma used some of the office supplies?,reveal,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Frank answered some of the questions,5,Sophia is a hipster,factH,and possibly all of them,5,0.85,1283,17,F,Carol,F,Julie,C,Did Ben say that Frank answered some of the questions?,say,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Jayden solved the puzzles or problems,10,Zoe is a math major,factH,but not both,10,0.84,1100,18,M,James,F,Christina,C,Did Tim prove that Jayden solved the puzzles or problems?,prove,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Josie failed some of the courses,2,Josie doesn't have a passport,factL,and possibly all of them,2,0.77,1150,19,M,David,M,Nicholas,C,Did Scott acknowledge that Josie failed some of the courses?,acknowledge,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
3,main,Mary ate some of the cupcakes,1,Mary is a middle school student,factL,and possibly all of them,1,0.89,1134,20,F,Sarah,M,Tyler,C,Did Patrick hear that Mary ate some of the cupcakes?,hear,[],35,y,No,hgjhkuh,english ,Chrome,Mac,956,1470,1.15375,
